,TF-IDF
дальше,0.005404724219580336
таки,0.005358529995481359
лошадей,0.005358529995481359
des,0.005358529995481359
невольно,0.005358529995481359
qui,0.005358529995481359
кажется,0.005358529995481359
дом,0.005312335771382382
две,0.005312335771382382
особенности,0.005312335771382382
nous,0.005312335771382382
сколько,0.005312335771382382
молодой,0.005312335771382382
года,0.005312335771382382
марьи,0.005266141547283405
матери,0.005266141547283405
войск,0.005219947323184427
пока,0.005219947323184427
собою,0.005219947323184427
наконец,0.00517375309908545
прибавил,0.00517375309908545
une,0.00517375309908545
почему,0.005127558874986473
другое,0.005127558874986473
движение,0.0050813646508874955
тысяч,0.0050813646508874955
императора,0.0050813646508874955
моя,0.0050813646508874955
ночь,0.0050813646508874955
смерти,0.005035170426788518
тяжело,0.004988976202689541
увидав,0.004988976202689541
видела,0.004988976202689541
pour,0.004942781978590564
михайловна,0.004942781978590564
княжне,0.004896587754491586
сама,0.004896587754491586
радостно,0.004896587754491586
андрею,0.004896587754491586
должны,0.00485039353039261
обращаясь,0.00485039353039261
дать,0.00485039353039261
напротив,0.00485039353039261
алпатыч,0.004804199306293632
месте,0.004804199306293632
мысль,0.004804199306293632
цель,0.004804199306293632
такие,0.004804199306293632
стала,0.004758005082194655
думать,0.004758005082194655
самого,0.004758005082194655
мать,0.004758005082194655
посмотрел,0.004758005082194655
багратион,0.004758005082194655
россии,0.004711810858095677
минуты,0.004711810858095677
выражением,0.004711810858095677
именно,0.004711810858095677
лет,0.004711810858095677
всеми,0.004711810858095677
оттого,0.004665616633996701
николая,0.004665616633996701
любил,0.004665616633996701
власть,0.004665616633996701
павловна,0.004619422409897723
сын,0.004619422409897723
каким,0.004619422409897723
полк,0.004573228185798746
которому,0.004573228185798746
любовь,0.004573228185798746
слезы,0.004527033961699769
будут,0.004527033961699769
du,0.0044808397376007916
разве,0.0044808397376007916
кричал,0.0044808397376007916
император,0.0044808397376007916
какие,0.0044808397376007916
одну,0.004434645513501814
сердито,0.004434645513501814
ростову,0.0043884512894028374
марье,0.0043884512894028374
действительно,0.0043884512894028374
истории,0.0043884512894028374
встал,0.0043884512894028374
смотрели,0.0043884512894028374
бывает,0.0043884512894028374
сел,0.0043884512894028374
узнал,0.0043884512894028374
нею,0.00434225706530386
взглянул,0.00434225706530386
улыбнулся,0.00434225706530386
другого,0.00434225706530386
on,0.0042960628412048825
видом,0.0042960628412048825
слов,0.0042960628412048825
ожидая,0.0042960628412048825
зная,0.0042960628412048825
государю,0.0042960628412048825
указывая,0.004249868617105905
сиятельство,0.004249868617105905
дорогу,0.004249868617105905
гостиной,0.004249868617105905
мало,0.004249868617105905
сидела,0.004249868617105905
графини,0.004249868617105905
слышал,0.004249868617105905
хотелось,0.004203674393006928
говорю,0.004203674393006928
думаю,0.004203674393006928
звуки,0.004203674393006928
правда,0.004203674393006928
сторону,0.004157480168907951
доктор,0.004157480168907951
оглянулся,0.004157480168907951
платье,0.004157480168907951
туда,0.004157480168907951
власти,0.004157480168907951
богу,0.004157480168907951
делал,0.004157480168907951
андреич,0.004111285944808973
милый,0.004111285944808973
армию,0.004111285944808973
mais,0.004111285944808973
старик,0.004111285944808973
заметил,0.004111285944808973
повторил,0.004111285944808973
право,0.004111285944808973
лиц,0.004111285944808973
всё,0.004111285944808973
вами,0.004065091720709997
места,0.004065091720709997
часть,0.004065091720709997
шел,0.004065091720709997
верно,0.004065091720709997
буду,0.004065091720709997
вечер,0.004065091720709997
вышла,0.004018897496611019
петербурге,0.004018897496611019
самой,0.004018897496611019
знаешь,0.004018897496611019
самый,0.004018897496611019
сюда,0.003972703272512042
менее,0.003972703272512042
большой,0.003972703272512042
тихо,0.003972703272512042
понимал,0.003972703272512042
стараясь,0.003972703272512042
чуть,0.003926509048413065
глазах,0.003926509048413065
положении,0.003926509048413065
скажу,0.003926509048413065
dans,0.003926509048413065
историки,0.003926509048413065
вид,0.003926509048413065
смотрела,0.003926509048413065
послышался,0.003926509048413065
говоря,0.0038803148243140876
желая,0.0038803148243140876
последнее,0.0038803148243140876
неприятеля,0.0038803148243140876
ближе,0.00383412060021511
народа,0.00383412060021511
наш,0.00383412060021511
офицера,0.00383412060021511
свете,0.00383412060021511
главное,0.00383412060021511
болконский,0.00383412060021511
никого,0.00383412060021511
армия,0.00383412060021511
понимаю,0.00383412060021511
вследствие,0.00383412060021511
причины,0.00383412060021511
должна,0.003787926376116133
людьми,0.003787926376116133
середине,0.003787926376116133
народ,0.003787926376116133
чувствовала,0.003787926376116133
весьма,0.003787926376116133
значение,0.003787926376116133
поле,0.003787926376116133
сзади,0.003787926376116133
обеда,0.003787926376116133
спросила,0.003787926376116133
взглядом,0.003787926376116133
жены,0.003741732152017156
хочет,0.003741732152017156
приказания,0.003741732152017156
tout,0.003741732152017156
берг,0.003741732152017156
цели,0.0036955379279181785
воли,0.0036955379279181785
всякий,0.0036955379279181785
сами,0.0036955379279181785
почувствовал,0.0036955379279181785
хоть,0.0036493437038192015
петербург,0.0036493437038192015
просто,0.0036493437038192015
оба,0.0036493437038192015
толпы,0.0036493437038192015
история,0.003603149479720224
находился,0.003603149479720224
видал,0.003603149479720224
наши,0.003603149479720224
такого,0.003603149479720224
самые,0.003556955255621247
дороги,0.003556955255621247
чувства,0.003556955255621247
ехал,0.003556955255621247
толпа,0.003556955255621247
прошел,0.003556955255621247
брат,0.003556955255621247
скорее,0.00351076103152227
спрашивал,0.00351076103152227
самом,0.00351076103152227
странно,0.00351076103152227
главнокомандующего,0.00351076103152227
хочу,0.00351076103152227
офицеров,0.00351076103152227
самых,0.00351076103152227
вероятно,0.00351076103152227
брата,0.00351076103152227
велел,0.00351076103152227
женщины,0.00351076103152227
гостиную,0.00351076103152227
дмитриевна,0.00351076103152227
стоит,0.00351076103152227
деле,0.0034645668074232924
француз,0.0034645668074232924
успел,0.0034645668074232924
изредка,0.0034645668074232924
события,0.0034645668074232924
вместо,0.0034645668074232924
хотела,0.0034645668074232924
мной,0.0034645668074232924
отвечала,0.0034645668074232924
необходимости,0.0034183725833243153
беспрестанно,0.0034183725833243153
легко,0.0034183725833243153
иметь,0.0034183725833243153
comme,0.0034183725833243153
plus,0.0034183725833243153
образом,0.0034183725833243153
письма,0.003372178359225338
другим,0.003372178359225338
илья,0.003372178359225338
однако,0.003372178359225338
