Artikel;Price EUR;RG
63175A38E18;43,48;27
63179879007;43,48;27
63179879003;43,48;27
63179879008;43,48;27
11128638458;41,41;19
63175A204E5;43,48;27
63175A38E22;43,48;27
84508381093;41,41;17
63175A38E23;43,48;27
63179879006;43,48;27
63179879005;43,48;27
63175A38E24;43,48;27
33411093390;43,48;20
51334828969;43,48;31
33411093388;43,48;20
51334828970;43,48;31
52107115108;11,24;24
13111260892;11,24;14
52107115114;11,24;24
11267675454;11,24;32
52107115113;11,24;24
52107115112;11,24;24
52208070793;300;15
52107115109;11,24;24
52107115107;11,24;24
52107115110;11,24;24
52208070794;300;15
52107115111;11,24;24
23311209479;11,24;17
52208070970;300;15
51717058137;340,26;15
63211383375;340,26;15
63211383376;340,26;15
51117443390;46,07;19
17217836762;46,07;15
41137244771;46,07;24
51457125089;46,07;15
13537690243;36,2;36
16138413788;36,2;36
11657804912;36,2;19
13537659966;36,2;36
11667797255;36,2;19
13537699556;36,2;36
13537687245;36,2;36
16138532982;36,2;36
16138489542;36,2;36
64117943713;36,2;19
51417141062;36,2;15
64117943714;36,2;19
51211950660;36,2;15
17222283139;36,2;15
51417158495;36,2;15
21528564185;36,2;20
51357336984;36,2;19
16137684699;36,2;36
13537708043;36,2;36
13317687263;36,2;36
51218132688;36,2;15
16139829247;36,2;36
51417141061;36,2;15
13537687246;36,2;36
16139829246;36,2;36
51417141063;36,2;15
54107378280;36,2;19
16137704067;36,2;36
11427500565;36,2;15
16111342051;36,2;36
13537708042;36,2;36
51417141064;36,2;15
16139898500;36,2;36
13537699561;36,2;36
13537688232;36,2;36
16137704048;36,2;36
51357336983;36,2;19
13537687250;36,2;36
13537699563;36,2;36
16127710573;36,2;36
16139457151;36,2;36
13711342368;36,2;36
16139898503;36,2;36
11652439730;36,2;17
13541461495;36,2;36
16138356914;36,2;36
34116883469;260;51
34116883470;260;51
34106898266;260;51
52107430791;445,36;19
52109870675;445,36;19
52107430793;445,36;19
52107430786;445,36;19
52109870676;445,36;19
52107430803;445,36;19
52109870673;445,36;19
52109870672;445,36;19
52107430801;445,36;19
52109870674;445,36;19
52107430790;445,36;19
52107430795;445,36;19
33326851581;34,16;24
51477440145;36,36;19
51129851919;58,25;23
33306772666;36,36;17
33306772665;36,36;17
51437433497;36,36;19
51118746307;58,25;23
51117385286;58,25;23
51477440146;36,36;19
51118098671;58,25;23
63136915375;36,36;31
51118080572;58,25;23
63136915378;36,36;31
51118070693;58,25;23
63136915377;36,36;31
51129851921;58,25;23
51129851920;58,25;23
51117385287;58,25;23
61319137520;58,25;16
72117060455;43,87;31
77148356840;43,87;24
72117060456;43,87;31
61219311086;11,51;23
46532312072;11,51;20
51717162385;11,51;24
46527661657;11,51;20
61218559294;11,51;20
51163402231;11,51;23
51162752989;11,51;23
65509164532;320;24
46537684639;11,51;20
61139238243;11,51;23
46522335779;11,51;20
52107056563;11,51;20
13537785078;11,51;27
13718620474;11,49;19
52102751234;11,49;24
11237600595;11,49;19
31336871812;11,49;19
11238090136;11,49;19
54377290351;11,49;27
18100301310;11,49;24
33111238259;11,49;14
52102751233;11,49;24
23121338741;11,49;22
11237557561;11,49;19
54377290352;11,49;27
07129906866;11,49;32
11238092385;11,49;19
51167009288;11,49;17
61683402699;11,49;19
41618241418;11,49;15
83199407777;11,49;39
34110300361;268;48
51217406479;12,38;19
51128040154;12,38;19
51127127724;12,38;19
31126757558;12,38;24
51128040170;12,38;19
33321092571;12,38;24
51318402457;12,38;27
41117240831;12,38;24
51117307914;12,38;19
51128044385;12,38;19
16131184889;12,38;27
84109154938;12,38;19
51167431935;12,38;19
51128041835;12,38;19
51128040155;12,38;19
51244427144;12,38;27
51167431936;12,38;19
51117307913;12,38;19
51127118196;12,38;19
51128044386;12,38;19
51128040169;12,38;19
51128044388;12,38;19
51128040156;12,38;19
51117248797;12,38;19
51127127723;12,38;19
51128044387;12,38;19
51127127721;12,38;19
51128040153;12,38;19
51127127722;12,38;19
51128041836;12,38;19
51457152602;27,95;24
71106857371;27,95;19
52530026102;136,76;22
13641460450;136,76;22
11284719859;27,95;23
18307832745;27,95;24
52530026113;136,76;22
85455A26105;136,76;24
25162277572;108,82;35
46632313067;240;16
46637666072;240;16
25162277568;108,82;35
31126866240;240;35
11319444425;29,62;24
51437413839;29,62;19
11319444426;29,62;24
64111390940;10,33;15
18518568182;10,33;20
11617742164;10,33;14
51168400298;10,33;15
61211244290;10,33;14
63122315092;10,33;14
11530028911;10,33;24
61211350723;10,33;14
21521163714;10,33;17
16116750526;10,33;31
32312224938;11,48;14
51487137458;11,48;19
17112160136;11,48;15
65779243136;11,48;19
34306762843;11,48;31
61359321404;208;19
61359317173;208;19
