id,Word,Frequency
578,расставили,11
579,бекет,22
580,лощинки,11
581,поставили,44
582,вчера,275
583,сусед,11
584,вез,55
585,баринка,11
586,своем,341
587,тож,55
588,кипаже,11
589,весь,693
590,задокто,11
591,истрошили,11
592,господи,418
593,ведает,22
594,никто,836
595,видал,176
596,барин,242
597,задку,11
598,сидел,396
599,барыней,33
600,чуяли,11
601,лакей,22
602,знать,429
603,клевал,11
604,кому,451
605,видетьто,22
606,ямщик,55
607,може,110
608,видел,297
609,поделаешьто,11
610,врагомто,11
611,этаким,22
612,отчего,561
613,праздника,33
614,тем,1166
615,нервным,11
616,голосом,220
617,внезапно,33
618,вошедший,11
619,фонарем,22
620,уздою,11
621,руках,407
622,муж,572
623,принявшей,11
624,неприятно,55
625,едут,11
626,оглашенные,11
627,продолжал,275
628,обращаясь,88
629,говоришь,187
630,обожди,11
631,повремени,11
632,слушать,187
633,хотят,88
634,тягают,22
635,брата,198
636,волочат,11
637,спроси,77
638,их,2662
639,ну,4587
640,слыхал,33
641,спрашивают,77
642,ласково,55
643,стороне,55
644,пытают,11
645,этак,528
646,прибавил,88
647,добиваются,11
648,того,1408
649,скажи,440
650,сказатьто,55
651,правду,132
652,правдато,11
653,нонче,220
654,брат,792
655,босиком,22
656,ходит,264
657,брюхо,33
658,спиной,22
659,носит,66
660,вынесла,44
661,большую,121
662,чашку,187
663,квасом,33
664,котором,319
665,плавало,11
666,поставила,165
667,ее,6930
668,около,363
669,конце,99
670,стола,165
671,положила,176
672,деревянные,22
673,ложки,33
674,краюшку,11
675,хлеба,154
676,оба,264
677,мужика,154
678,перекрестились,22
679,дверь,770
680,которую,286
681,глядел,55
682,кусок,33
683,темного,22
684,неба,77
685,начали,99
686,ужин,55
687,присел,55
688,купца,110
689,ели,33
690,стоя,99
691,опрокинул,22
692,смену,11
693,желтоглазому,11
694,желтоглазый,11
695,сел,341
696,налил,33
697,откусил,22
698,сахару,22
699,перекрестившись,11
700,двумя,110
701,перстами,22
702,начал,385
703,похлебывать,11
704,годится,121
705,допив,11
706,первую,33
707,протягивая,22
708,руку,891
709,чайнику,11
710,спросили,44
711,хозяева,44
712,продолжали,22
713,ужинать,110
714,повидимому,44
715,обращали,33
716,малейшего,33
717,уж,4114
718,ночам,66
719,пятерыхто,11
720,вставил,33
721,тыто,44
722,шестой,44
723,будешь,253
724,мне,5962
725,мое,572
726,дело,1705
727,знай,77
728,гляди,275
729,ямщику,11
730,батюшка,220
731,ваше,374
732,степенство,33
733,порой,33
734,видит,143
735,крикнуть,22
736,седокамто,11
737,назадто,22
738,поеду,44
739,тогда,715
740,крикну,44
741,кричать,33
742,самого,539
743,ии,44
