Word,TF-IDF Score
такого,0.0005656540828009268
поздно,0.000565470551192051
здоров,0.0005645764495996163
грудь,0.0005641229330786013
решил,0.0005630656195289917
помнишь,0.000562662078612496
довольно,0.0005622889690976081
черт,0.0005593174612500714
пальцем,0.0005586916825658881
живет,0.0005583562924249628
живут,0.00055664165114577
век,0.0005565296140442134
слов,0.0005548483579678479
братца,0.0005538874148049437
душу,0.0005533115430468806
ком,0.0005526903512633158
разговор,0.0005526837212188891
спать,0.0005523530718210104
беда,0.0005519015704037015
особенно,0.0005501159176978385
надолго,0.0005495319229329257
послушай,0.0005478742767103113
которое,0.0005458463984263224
цель,0.0005448293201612342
гулять,0.0005447119706935541
ногу,0.000543935262567324
халат,0.0005431035945752427
мере,0.0005416473868531654
делаю,0.0005404353347748829
казалось,0.0005401670743088255
например,0.000539682878678183
сын,0.0005394454462993478
добрый,0.0005388242410142226
конца,0.0005382192014523098
горе,0.0005377605790320883
никого,0.0005361626827369822
чорт,0.0005356276030418392
захрипел,0.0005350790293650564
выйдет,0.0005346984227847996
прошло,0.0005338484244343699
спросит,0.000533664763674917
вошел,0.0005334629828695068
квартире,0.0005320150081833718
возразила,0.0005317676898537627
перебила,0.0005307669547545664
самому,0.0005303826643287279
кухню,0.0005298287622133498
проворно,0.0005291630072200361
положил,0.0005281218912177778
шаг,0.0005280426320288666
воли,0.0005269435092515169
тетке,0.000526830127270381
глядела,0.0005267186657381461
послезавтра,0.0005251674136711263
минут,0.0005240937753227742
делают,0.0005234462751685738
засмеялся,0.0005226327858411943
видит,0.0005224274404808652
рук,0.0005193729423583642
понимаю,0.0005189521299727915
лениво,0.0005175844003564556
стола,0.0005155619696986969
забыть,0.0005150703207100048
пыль,0.0005144340083192442
готов,0.0005119407250764436
равнодушно,0.0005080602593327793
мужики,0.0005076910065339345
кухне,0.0005074347281406083
ногой,0.0005071525960014033
вижу,0.0005067020638713647
саду,0.00050359757037104
глубоко,0.0005034202927154124
слез,0.000502771173629334
другом,0.0005019317247055175
час,0.0005015426955162665
вместо,0.0005015197634820419
груди,0.0005011007640826778
дать,0.0004997408220819625
вспомнил,0.0004995447634639977
ужас,0.0004979476942014648
вдвоем,0.0004976311756578431
написать,0.0004975102060941423
нравится,0.0004972398275516953
третий,0.0004969670320652616
стороной,0.000496737000106123
дам,0.0004966424727089168
скорее,0.0004962390348420678
тетки,0.0004954226265215374
знают,0.0004948392130838205
лошадь,0.0004946737272718203
хозяйство,0.0004938140968091096
чувство,0.0004935424975317761
сил,0.000491962181817269
самолюбие,0.0004918449350043598
готово,0.0004918222489766065
любите,0.0004914859284594195
посмотрел,0.000491365603147414
против,0.0004911069827616611
крайней,0.0004902910347992645
ворчал,0.0004890942024829774
уме,0.0004879107021377417
лень,0.00048766189588968
крепко,0.00048618845723649457
дальше,0.0004858451070325189
столе,0.00048398025261192976
шептал,0.00048391664444114886
приехал,0.00048390443620562106
будут,0.00048331070208468724
верно,0.00048252537195742117
мол,0.0004824094686378688
любила,0.00048165898127264223
жаль,0.0004815469456622559
спрашивает,0.00048141859672140125
ласково,0.0004811264600957846
чувством,0.0004801191264274308
разные,0.00047995142573670793
кем,0.00047911928946102754
другая,0.0004773306776696839
имение,0.0004773063951248123
выборгскую,0.0004771306599451667
читаете,0.00047662547221376825
вслед,0.0004761770240365858
месяца,0.00047531922584036684
сильно,0.0004750119834068553
сухо,0.00047461473496707385
поеду,0.0004739985280229036
ходил,0.0004736803120058422
подошел,0.00047360856631422385
хотели,0.0004724617762562833
угол,0.00047171543118834126
посмотри,0.0004707197086585616
взглянуть,0.0004706855844123322
твой,0.00047034593606268965
скука,0.0004697857878934042
тишина,0.0004696760623563738
получил,0.0004684930595019024
руках,0.0004683803623386685
старосты,0.00046738224590683414
столько,0.0004672987797826619
просил,0.0004669959637023227
спит,0.0004663109964414403
людей,0.0004662727880137932
скажите,0.0004650292010878753
вовсе,0.00046490143374621385
