Фамилия Имя Отчество,Дата смерти,Количество лет
Рагозина Елизавета Петровна,24 мая 1854,-
Рангъ Михаилъ Михайловичъ,5 іюня 1876,-
Ранцевъ Александръ Александровичъ,16 января 1845,-
Ратманова Анна Ивановна,1 декабря 1901,68
Ратманова Варвара Александровна,10 іюля 1840,35
Ратьковская Елизавета Петровна,8 іюля 1836,-
Ратьковская Раиса Петровна,22 іюня 1853,-
Рау Анна Александровна,13 ноября 1883,-
Рау Павелъ Ивановичъ,30 августа 1872,-
Раутенбергъ Симеонъ Михайловичъ,23 сентября 1883,-
Рачеевъ Михаилъ Семеновичъ,11 ноября 1907,57
Рейнгольцъ Павелъ Яковлевичъ,8 ноября 1895,74
Рейхельтъ Петръ Ивановичъ,30 іюня 1868,-
Рекъ Екатерина Андреевна,14 іюля 1843,-
Ренне Егоръ Романовичъ,12 марта 1855,-
Репьевъ Петръ Николаевичъ,22 марта 1889,-
Ресина Александра Александровна,1 декабря 1860,-
Ресинъ Павелъ Ивановичъ,13 февраля 1848,62
Ретивцевъ Александръ Васильевичъ,7 іюля 1849,-
Реутова Прасковья Гавриловна,31 января 1776,-
Реутъ Анна Николаевна,20 мая 1897,-
Рикманъ Александръ Яковлевичъ,3 марта 1892,-
Рихтеръ Александра Николаевна,5 іюня 1906,-
Рогозинникова Анна Ивановна,23 марта 1902,-
Розановъ Капитонъ Ивановичъ,7 ноября 1865,58
Рокотова Екатерина Николаевна,5 мая 1894,-
Романова Александра Лукинична,26 іюня 1901,66
Романова Екатерина Николаевна,22 декабря 1897,-
Романова Ольга Карловна,26 ноября 1902,37
Романовъ Николай Степановичъ,12 сентября 1897,-
Романовъ Степанъ Викторовичъ,1 октября 1885,-
Ромейковъ Александръ Александровичъ,29 іюля 1887,-
Ромулова Анна Спиридоновна,26 мая 1872,67
Роопъ Борисъ Христофоровичъ,13 августа 1893,-
Ртищевъ Михаилъ Никитичъ,16 мая 1817,-
Рубцова Ольга Петровна,25 декабря 1860,19
Рубцовъ Петръ Андреевичъ,29 іюня 1896,79
Рукина Варвара Александровна,16 января 1837,-
Рукина Екатерина Александровна,14 августа 1818,-
Рукинъ Александръ Ивановичъ,13 декабря 1829,-
Рукинъ Александръ Николаевичъ,1 іюня 1839,-
Рукинъ Николай Александровичъ,30 іюня 1859,-
Рукинъ Николай Ивановичъ,25 сентября 1908,-
Рулевъ Семенъ Васильевичъ,9 сентября 1848,66
Румянцовъ Петръ Александровичъ,28 февраля 1864,-
Русинова Анна Ивановна,15 октября 1866,62
Рыкачева Анна Степановна,11 сентября 1887,68
Рыкачева Матрона Ивановна,23 октября 1805,71
Рыкачева Надежда Логиновна,24 января 1865,83
Рыкачевъ Семенъ Ивановичъ,15 сентября 1786,-
Рыкунинъ Петръ Ивановичъ,13 февраля 1902,43
Рыловъ Стефанъ Ивановичъ,2 февраля 1846,-
Рындинъ Иванъ Николаевичъ,8 декабря 1868,-
Рябкова Елизавета Степановна,22 декабря 1884,64
Рябцева Елизавета Ефимовна,16 іюля 1848,-
Сабурова Анна Васильевна,22 декабря 1813,-
Савинкова Александра Васильевна,24 мая 1899,61
Савиновъ Константинъ Макаровичъ,15 сентября 1865,-
Савинъ Прохоръ Степановичъ,20 января 1878,55
Савицкая Ольга Васильевна,25 ноября 1831,47
Самойловъ Андрей Васильевичъ,19 сентября 1871,-
Самсонова Анна Александровна,5 ноября 1866,-
Сапаловичъ Павелъ Яковлевичъ,20 іюня 1876,-
Сарафанова Любовь Васильевна,3 марта 1862,-
Сарафановъ Николай Яковлевичъ,19 ноября 1881,83
Саханская Анна Васильевна,11 февраля 1877,-
Сахаровъ Леонидъ Ивановичъ,11 января 1887,-
Свищева Анна Ивановна,20 іюля 1853,-
Секеринъ Александръ Павловичъ,18 мая 1853,-
Селифонтова Глафира Ивановна,25 декабря 1860,-
Селифонтовъ Михаилъ Петровичъ,6 іюня 1835,56
Селифонтовъ Николай Михайловичъ,22 октября 1846,21
Селифонтовъ Петръ Петровичъ,24 марта 1812,-
Семеновъ Константинъ Егоровичъ,17 января 1903,-
Семеновъ Никита Порфирьевичъ,6 ноября 1880,-
Семичевъ Николай Семеновичъ,9 мая 1868,-
Сидоровъ Михаилъ Никитичъ,21 марта 1899,-
Сизяковъ Ефремъ Филипповичъ,25 іюня 1848,-
Сизяковъ Илья Николаевичъ,12 сентября 1833,-
Симоновы Александра Николаевна,20 сентября 1892,22
Синицына Анна Васильевыа,14 августа 1877,64
Сипягина Елена Михайловна,29 іюня 1837,-
Сипягинъ Николай Андреевичъ,20 іюня 1864,-
Скворцова Анна Васильевна,7 мая 1907,-
Скобельцынъ Николай Евграфовичъ,6 января 1865,-
Скульская Надежда Львовна,9 ноября 1863,-
Смирнова Анна Ивановна,16 августа 1892,-
Смирнова Параскева Даниловна,7 сентября 1881,75
Смирновъ Андрей Павловичъ,1 марта 1901,-
Смирновъ Николай Ивановичъ,29 іюля 1889,-
Смольяниновъ Николай Павловичъ,9 марта 1885,-
Смыслова Любовь Михайловна,17 сентября 1858,28
Смятьева Анна Андреевна,6 декабря 1816,-
Соболева Аглаида Ивановна,21 ноября 1890,50
Соболева Ольга Ивановна,5 мая 1893,-
Соболевъ Николай Николаевичъ,28 ноября 1892,-
Соколовская Клеопатра Егоровна,23 января 1900,-
Соколовъ Викторъ Васильевичъ,17 мая 1907,39
Соколовъ Иванъ Саввичъ,19 сентября 1834,-
Сомова Екатерина Асигкритовна,24 октября 1909,-
Сомовъ Михаилъ Ивановичъ,23 іюля 1891,-
Сонина Мареа Яковлевна,10 августа 1803,-
Сорокина Екатерина Платоновна,29 января 1883,-
Сорохтина Василисса Ивановна,15 августа 1858,-
Сорохтинъ Николай Васильевичъ,28 мая 1840,75
Спечинская Елизавета Никитична,30 марта 1816,56
Стальнова Ольга Григорьевна,4 марта 1901,-
Станчулъ Глафира Ивановна,6 октября 1878,-
Старкова Елизавета Николаевна,24 марта 1880,-
Старошаршавинъ Александръ Ивановичъ,14 декабря 1831,55
Стогова Анна Ивановна,17 мая 1853,-
Стогова Ирина Ивановна,12 іюня 1804,65
Стоговъ Лазарь Ивановичъ,5 ноября 1805,52
Столповская Елизавета Трофимовна,18 февраля 1905,-
Стольникова Елизавета Ивановна,13 февраля 1847,33
Стольникова Параскева Васильевна,18 февраля 1843,57
Строговщикова Екатерина Николаевна,8 іюня 1861,-
Строговщиковъ Александръ Петровичъ,26 августа 1894,-
Строева Александра Павловна,24 мая 1856,24
Субботина Анна Николаевна,26 августа 1872,72
Суворова Александра Евграфовна,14 августа 1871,-
Суворова Анна Евграфовна,26 февраля 1865,76
Суворова Ларисса Ивановна,24 февраля 1873,-
Суворовъ Андрей Ивановичъ,9 января 1879,-
Судовщикова Анна Степановна,3 іюня 1876,-
Суетиновъ Андрей Яковлевичъ,28 мая 1905,38
Сумина Анна Андреевна,4 іюня 1822,-
Сумина Екатерина Петровна,5 февраля 1823,25
Суминъ Павелъ Петровичъ,3 февраля 1871,75
Сусловъ Стефанъ Васильевичъ,23 ноября 1887,75
Сухово-Кобылинъ Иванъ Васильевичъ,6 іюня 1842,-
Сухотина Александра Евграфовна,16 іюля 1853,52
Сухотина Настасья Петровна,1 января 1813,-
Сырейщикова Анна Максимовна,25 августа 1887,-
Талантовъ Александръ Стефановичъ,2 іюля 1859,-
Талызинъ Борисъ Александровичъ,26 сентября 1879,-
Таптыковъ Иванъ Александровичъ,27 іюня 1911,-
Татищевъ Александръ Александровичъ,25 сентября 1863,-
Таунлей Викторъ Николаевичъ,25 января 1883,-
Теглева Анна Николаевна,13 ноября 1857,67
Теглева Валентина Васильевна,13 ноября 1885,-
Теглевъ Александръ Николаевичъ,2 января 1839,-
Теглевъ Николай Никитичъ,2 января 1848,-
Теглевъ Яковъ Петровичъ,16 декабря 1799,-
Телепнева Елизавета Васильевна,6 іюля 1903,-
Теньковъ Петръ Ивановичъ,6 декабря 1887,64
Тепляшинъ Семенъ Петровичъ,4 марта 1893,-
Тиль Любовь Петровна,23 ноября 1900,-
Тимирева Александра Ивановна,14 іюля 1853,1
Тимиревъ Иванъ Степановичъ,21 октября 1829,-
Титова Анна Васильевна,8 февраля 1825,-
Титова Анна Егоровна,16 іюня 1844,67
Титова Анна Макарьевна,21 декабря 1794,79
Ткачева Татьяна Захаровна,28 февраля 1835,-
Толбугина Анна Александровна,13 іюля 1786,35
Толбугинъ Левъ Васильевичъ,4 августа 1853,-
Толбугинъ Леонидъ Павловичъ,16 февраля 1878,-
Толбугинъ Николай Михайловичъ,13 августа 1814,32
Толбузинъ Вячеславъ Васильевичъ,28 марта 1788,-
Толбузинъ Николай Арсеньевичъ,16 марта 1868,-
Толбухина Елена Львовна,14 іюля 1868,-
Толмачева Ольга Степановна,22 февраля 1909,-
Толмачовъ Акимъ Ивановичъ,26 мая 1906,44
Толмачевъ Павелъ Петровичъ,14 августа 1847,-
Толстая Александра Андреевна,8 мая 1835,33
Толстая Екатерина Петровна,22 октября 1833,-
Толстая Елена Павловна,13 марта 1885,-
Толстой Егоръ Павловичъ,13 марта 1890,-
Толстой Иванъ Семеновичъ,26 декабря 1783,-
Толстой Леонидъ Николаевичъ,10 ноября 1887,-
Толстой Петръ Павловичъ,14 іюня 1863,-
Топлениновъ Александръ Евграфовичъ,14 января 1902,59
Топлениновъ Николай Евграфовичъ,29 октября 1881,-
Торопова Серафима Никифоровна,14 іюля 1871,50
Травинъ Семенъ Ивановичъ,5 іюля 1901,-
Трапезникова Екатерина Ивановна,22 января 1849,16
Трапезниковъ Иванъ Михайловичъ,17 января 1851,-
Траубе Андрей Петровичъ,27 февраля 1817,-
Трегубова Александра Ивановна,3 марта 1835,-
Трегубова Марина Яковлевна,2 ноября 1832,-
Третьякова Анна Павловна,7 марта 1842,29
Трефортъ Петръ Константиновичъ,16 іюня 1889,-
Тропарь Иванъ Михаиловичъ,21 сентября 1393,-
Трофимовъ Александръ Ильичъ,25 іюля 1891,67
Троянова Анна Васильевна,15 февраля 1900,-
Трубачеева Анна Ивановна,8 іюля 1831,77
Трубицкая Зинаида Аггеевна,18 мая 1859,-
Трубникова Ольга Арсеньевна,31 августа 1882,-
Трубникова Ольга Николаевна,22 марта 1859,-
Трубниковъ Иванъ Ивановичъ,12 сентября 1906,-
Трусова Варвара Петровна,24 марта 1896,-
Тулубьева Анна Васильевна,24 марта 1857,-
Тулубьева Анна Степановна,5 ноября 1790,23
Тулубьева Екатерина Ильинична,9 мая 1837,65
Тулубьева Мавра Васильевна,4 сентября 1795,52
Тулубьева Мавра Степановна,19 іюня 1835,62
Тулубьева Настасья Никифоровна,20 іюля 1807,50
Тулубьева Прасковья Ивановна,16 іюня 1882,60
Тулубьевъ Александръ Ильичъ,3 марта 1823,-
Тулубьееъ Иванъ Васильевичъ,16 февраля 1832,75
Тулубьевъ Николай Никаноровичъ,19 декабря 1875,-
Тулубьевъ Петръ Ивановичъ,21 мая 1834,31
Тулубьевъ Семенъ Ильичъ,24 января 1812,50
Тургенева Екатерина Семеновна,27 ноября 1824,-
Тухтеевъ Филиппъ Семеновичъ,13 мая 1858,55
Тучкова Елена Ивановна,18 января 1793,59
Тучкова Елизавета Ивановна,27 октября 1825,52
Тучковъ Иванъ Васильевичъ,24 октября 1783,55
Тучковъ Петръ Васильевичъ,15 февраля 1786,64
Тыртова Анна Ивановна,5 февраля 1789,98
Тыртовъ Иванъ Яковлевичъ,9 іюня 1801,28
Тыртовъ Петръ Александровичъ,1 августа 1862,-
Тюриковъ Александръ Николаевичъ,9 августа 1891,-
Тютчева Екатерина Андреевна,29 сентября 1838,74
Тютчева Елизавета Михайловна,24 августа 1847,10
Тютчевъ Павелъ Васильевичъ,9 января 1895,-
Тяжелова Екатерина Андреевна,22 февраля 1895,-
Тяжеловъ Александръ Аеанасьевичъ,25 мая 1905,-
Унковская Акилина Ивановна,11 декабря 1849,-
Уразовъ Илья Игнатьевичъ,27 ноября 1900,45
Уразовъ Михаилъ Игнатьевичъ,26 марта 1905,40
Урбановская Параскева Васильевна,1 февраля 1857,-
Усачевъ Тихонъ Тихоновичъ,1 декабря 1825,-
Усовъ Андрей Александровичъ,10 августа 1850,-
Усовъ Николай Николаевичъ,14 февраля 1909,54
Устинова Надежда Ивановна,11 іюля 1892,67
Уткинъ Илья Петровичъ,7 марта 1868,-
Ушакова Анна Александровна,12 декабря 1817,-
Ушакова Анна Петровна,14 іюля 1853,-
Ушакова Варвара Васильевна,4 октября 1891,75
Ушакова Екатерина Ивановна,12 августа 1849,-
Ушакова Екатерина Николаевна,13 марта 1910,-
Ушакова Елизавета Михайловна,6 августа 1880,26
Архангельской Казенной Палатой,6 октября 1911,-
Ушаковъ Антонъ Ивановичъ,26 января 1902,-
Ушаковъ Иванъ Павловичъ,21 января 1870,52
Ушаковъ Николай Александровичъ,22 іюля 1842,-
Ушаковъ Николай Михайловичъ,10 февраля 1902,-
Ушаковъ Петръ Ивановичъ,29 января 1785,34
Ушаковъ Петръ Николаевичъ,29 іюля 1898,-
Ушаковъ Петръ Степановичъ,11 марта 1874,-
Ушанозъ Михаилъ Ивановичъ,10 іюня 1863,64
Ушковъ Степанъ Мироновичъ,12 февраля 1832,-
Фаминцына Елизавета Андреевна,2 октября 1832,-
Фиглева Анна Васильевна,31 мая 1909,-
Фиглева Елизавета Ивановна,25 января 1898,65
Фиглевъ Петръ Васильевичъ,27 октября 1884,-
Филисова Авдотья Петровна,19 іюля 1852,-
Философова Анна Павловна,17 марта 1912,-
Апостола Андрея Первозваннаго,28 сентября 1811,-
Флерова Анна Ивановна,25 октября 1889,-
Флоринская Анна Михайловна,31 августа 1871,-
Фортунатовъ Михаилъ Петровичъ,13 мая 1895,74
Францева Ольга Васильевна,18 октября 1862,50
Фрязинъ Платонъ Ивановичъ,20 октября 1848,-
Хаминовъ Зосима Андреевичъ,5 марта 1896,-
Ханеневъ Семенъ Ивановичъ,19 іюля 1789,-
Ханыковъ Михаилъ Николаевичъ,3 января 1885,-
Харламовъ Иванъ Андреевичъ,15 января 1812,-
Харламовъ Иванъ Николаевичъ,18 марта 1887,-
Харламовъ Николай Петровичъ,9 декабря 1889,-
Хвостова Агриппина Александровна,1 января 1820,-
Хвостова Александра Андреевна,30 мая 1834,25
Хвостова Анна Никитична,16 сентября 1834,85
Хвостова Анна Николаевна,16 ноября 1891,47
Хвостова Параскева Андреевна,27 сентября 1835,30
Хвостова Прасковья Николаевна,13 марта 1853,-
Хвостова Фелицата Ивановна,26 декабря 1867,-
Хвостовъ Андрей Елиссеевичъ,16 іюня 1832,70
Хвостовъ Яковъ Марковичъ,28 февраля 1819,-
Хвощинская Анна Николаевна,10 августа 1860,-
Хлопова Александра Александровна,23 декабря 1813,25
Холщевниковъ Николай Васильевичъ,5 іюля 1871,-
Хомутова Елена Васильевна,11 января 1807,-
Хрутцкая Анна Ивановна,16 января 1906,-
Хрущовъ Николай Ивановичъ,16 августа 1889,-
Цеберъ Анна Карловна,28 декабря 1900,23
Мантейфель Александръ Петровичъ,28 октября 1899,-
Чагина Аграфена Ивановна,28 декабря 1857,47
Чагинъ Иванъ Петровичъ,6 декабря 1862,65
Чаплина Анна Аггеевна,1 января 1845,71
Чаплина Варвара Михайловна,12 августа 1909,-
Чаплина Екатерина Ильинична,22 іюля 1852,64
Чаплина Любовь Арсеньевна,17 октября 1880,-
Чаплина Поликсена Александровна,28 мая 1848,-
Чаплинъ Илья Андреевичъ,11 января 1897,-
Чаплинъ Михаилъ Михайловичъ,31 декабря 1911,-
Чаплинъ Николай Андреевичъ,15 августа 1866,-
Чашникова Варвара Александровна,8 іюля 1848,-
Чашникова Ольга Ивановна,11 сентября 1893,-
Челищевъ Михаилъ Ивановичъ,2 ноября 1867,-
Червонная Надежда Прокофьевна,6 іюня 1851,-
Черевинъ Петръ Ивановичъ,28 августа 1813,84
Черкасова Варвара Петровна,2 сентября 1864,47
Черкасова Екатерина Васильевна,17 марта 1910,67
Черкасовъ Михаилъ Васильевичъ,22 іюля 1862,62
Черкасовъ Петръ Васильевичъ,25 іюля 1859,52
Черкашенинова Варвара Васильевна,18 марта 1869,67
Черкашениновъ Илья Ивановичъ,31 мая 1809,-
Черкашениновъ Илья Николаевичъ,30 марта 1887,-
Черкашениновъ Николай Васильевичъ,18 ноября 1858,54
Черкесова Прасковья Антоновна,26 февраля 1898,-
Черкесовъ Михаилъ Антоновичъ,9 августа 1858,-
Чернева Елена Николаевна,21 іюня 1880,-
Черновъ Александръ Михайловичъ,26 сентября 1866,-
Черновъ Петръ Петровичъ,13 ноября 1893,-
Чертова Агриппина Яковлевна,26 января 1822,-
Варшавскаго Окружнаго Суда,14 января 1904,-
Чириковъ Павелъ Петровичъ,5 февраля 1826,33
Чиркова Анна Николаевна,30 іюня 1910,61
Чирковъ Михаилъ Ивановичъ,31 января 1900,-
Чистяковъ Николай Ивановичъ,25 іюля 1906,-
Чихачева Александра Николаевна,27 мая 1802,-
Чихачева Екатерина Николаевна,12 января 1824,-
Чихачевъ Николай Семеновичъ,15 мая 1826,-
Чихачевъ Николай Яковлевичъ,24 іюля 1823,-
Чихачевъ Павелъ Николаевичъ,10 августа 1872,-
Чичагова Екатерина Васильевна,17 іюня 1848,-
Чичагова Татьяна Васильевна,28 февраля 1846,-
Чичаговъ Стефанъ Ивановичъ,9 января 1855,-
Чоглокова Елизавета Николаевна,3 января 1869,-
Чоглокова Ольга Николаевна,14 іюля 1867,-
Чулковъ Николай Васильевичъ,5 іюля 1815,-
Чулковъ Николай Леонтьевичъ,17 іюня 1854,-
Чуркина Ольга Васильевна,20 января 1859,-
Чуфаровская Екатерина Ивановна,29 марта 1857,-
Шавровъ Николай Михайловичъ,16 іюля 1884,79
Шагановъ Николай Ильичъ,11 ноября 1877,-
Шалыгинъ Иванъ Григорьевичъ,16 декабря 1909,-
Шамшева Анна Андреевна,3 іюля 1877,85
Шамшевъ Петръ Васильевичъ,3 мая 1887,-
Шатилова Любовь Ивановна,6 января 1862,73
Шатиловъ Иванъ Андреевичъ,9 января 1829,80
Шатиловъ Левъ Яковлевичъ,26 іюня 1804,85
Шахровъ Павелъ Андреевичъ,3 іюня 1897,68
Швабъ Антонъ Павловичъ,13 октября 1909,64
Шварцъ Екатерина Михайловна,7 марта 1810,-
Шевелкинъ Иванъ Петровичъ,13 мая 1824,-
Шевелкинъ Петръ Ивановичъ,21 февраля 1828,-
Шелашникова Александра Николаевна,6 іюля 1894,-
Шерсковъ Иванъ Герасимовичъ,19 февраля 1886,-
Шестакова Александра Петровна,9 декабря 1895,-
Шестаковъ Александръ Ильичъ,9 марта 1864,46
Шестаковъ Иванъ Николаевичъ,16 ноября 1876,-
Шигоринъ Германъ Ивановичъ,17 марта 1899,71
Шигоринъ Яковъ Александровичъ,19 сентября 1868,-
Шильдъ Петръ Петровичъ,9 января 1878,-
Шингарева Павла Михайловна,23 марта 1898,-
Шипова Анна Александровна,13 декабря 1869,-
Шиповъ Иванъ Павловичъ,21 октября 1841,-
Шиповъ Михаилъ Михаиловичъ,6 февраля 1852,-
Шиповъ Павелъ Ивановичъ,1 февраля 1897,-
Шишелова Анна Александровна,7 января 1879,92
Шишелова Елизавета Платоновна,20 марта 1881,-
Шишеловъ Павелъ Платоновичъ,3 іюля 1855,-
Шишеловъ Платонъ Ивановичъ,4 іюля 1828,59
Шишкина Анна Александровна,29 марта 1903,-
Шишкинъ Петръ Андреевичъ,11 мая 1771,-
Шишковская Елизавета Макаровна,15 февраля 1900,-
Шишковъ Степанъ Михайловичъ,15 января 1769,-
Шкотъ Надежда Александровна,10 февраля 1885,-
Шнейдерсъ Елизавета Александровна,10 мая 1849,29
Шпееръ Иванъ Абрамовичъ,8 января 1893,-
Штанковская Екатерина Александровна,17 августа 1896,68
Штемпель Анна Петровна,27 мая 1839,-
Шубина Анна Михайловна,9 января 1899,84
Шубинская Анна Павловна,20 ноября 1887,-
Шубинская Елизавета Андреевна,23 ноября 1909,-
Шубинская Прасковья Петровна,23 марта 1855,-
Шубинъ Михаилъ Николаевичъ,10 іюня 1871,-
Шульгина Екатерина Павловна,23 августа 1837,-
Шупинская Екатерина Андреевна,8 января 1911,-
Щепетильниковъ Николай Николаевичъ,1 мая 1908,-
Щербакова Ольга Михайловна,29 іюля 1911,-
Щербиненко Иванъ Васильевичъ,7 іюня 1887,-
Щербовъ Петръ Михайловичъ,6 декабря 1895,-
Щукина Елизавета Семеновна,11 ноября 1892,-
Щукинъ Трофимъ Моисеевичъ,6 мая 1888,77
Эдингъ Екатерина Яковлевна,23 декабря 1883,38
Эйлеръ Надежда Николаевна,2 декабря 1876,-
Юдина Августа Аполлоновна,13 января 1907,-
Юреневъ Андрей Николаевичъ,18 іюня 1894,-
Юреневъ Николай Андреевичъ,29 августа 1840,-
Юреневъ Семенъ Павловичъ,1 іюля 1855,55
Юрьева Варвара Андреевна,3 февраля 1906,-
Юрьевъ Яковъ Петровичъ,26 ноября 1844,-
Юшкова Александра Егоровна,27 ноября 1883,-
Язвикова Александра Васильевна,9 января 1900,-
Языкова Анна Павловна,12 мая 1888,-
Языкова Екатерина Николаевна,19 сентября 1810,-
Языкова Параскева Ивановна,14 февраля 1814,-
Языковъ Илья Ивановичъ,31 октября 1786,-
Языковъ Михаилъ Васильевичъ,9 сентября 1855,-
Языковъ Николай Даниловичъ,9 августа 1803,-
Языковъ Николай Михайловичъ,4 августа 1892,-
Языковъ Павелъ Михайловичъ,19 іюля 1889,-
Языковъ Семенъ Григорьевичъ,2 марта 1818,-
Якимовичъ Николай Францевичъ,2 мая 1890,-
Яковлева Анна Акимовна,27 января 1830,44
Яковлева Анна Александровна,22 февраля 1905,-
Яковлевъ Павелъ Саввичъ,15 мая 1852,56
Яковлевъ Петръ Александровичъ,4 января 1821,-
Янковская Каролина Николаевна,12 ноября 1873,60
Яновъ Иванъ Васильевичъ,14 марта 1788,-
Ярковъ Михаилъ Гавриловичъ,14 сентября 1846,-
Яровицкая Людмила Филипповна,22 іюля 1885,-
Ярцова Любовь Аникитична,11 декабря 1876,-
Ярцовъ Павелъ Аникитинъ,25 марта 1843,-
Яхонтовъ Николай Петровичъ,4 іюня 1840,-
