Фамилия Имя Отчество,Дата смерти,Количество лет
Веревкина Елизавета Григорьевна,7 марта 1883,73
Веревкинъ Александръ Васильевичъ,1 ноября 1880,-
Веревкинъ Петръ Игнатьевичъ,29 мая 1847,78
Верещагинъ Иванъ Ивановичъ,10 ноября 1818,-
Верещагинъ Иванъ Павловичъ,15 іюня 1881,48
Верещагинъ Павелъ Петровичъ,16 іюля 1865,-
Веригина Екатерина Александровна,15 іюля 1869,-
Веригинъ Иванъ Александровичъ,12 іюня 1875,-
Веснина Агриппина Николаевна,25 іюля 1907,-
Веснинъ Александръ Александровичъ,14 января 1912,-
Веснинъ Андрей Петровичъ,25 мая 1888,-
Веснинъ Петръ Андреевичъ,27 мая 1891,-
Вешнякова Анна Ивановна,30 августа 1834,-
Вешнякова Елизавета Ивановна,15 мая 1907,62
Винтеръ Иванъ Андреевичъ,26 іюля 1880,-
Висковатовъ Николай Степановичъ,11 іюля 1895,-
Висленевъ Никита Александровичъ,27 мая 1865,-
Водовъ Иванъ Ивановичъ,21 февраля 1856,72
Воейкова Елизавета Яковлевна,7 іюня 1879,-
Воейковъ Андрей Яковлевичъ,22 августа 1878,-
Воейковъ Иванъ Петровичъ,14 мая 1808,-
Воейковъ Иванъ Яковлевичъ,12 января 1886,70
Воейковъ Николай Петровичъ,26 іюня 1889,-
Воейковъ Николай Семеновичъ,24 марта 1793,40
Воейковъ Яковъ Андреевичъ,6 сентября 1849,-
Возницынъ Иванъ Яковлевичъ,15 декабря 1830,58
Волженская Александра Гавриловна,12 октября 1902,-
Волкова Акулина Андреевна,7 ноября 1854,-
Волкова Варвара Аполлоновна,20 января 1842,-
Волкова Варвара Степановна,7 августа 1883,-
Волкова Глафира Стефановна,2 марта 1839,-
Волкова Екатерина Николаевна,10 января 1897,-
Волкова Зинаида Ивановна,19 ноября 1867,64
Волкова Ольга Ивановна,23 января 1886,-
Волковъ Александръ Ивановичъ,22 іюля 1864,-
Волковъ Аполлонъ Александровичъ,1 октября 1838,61
Волковъ Иванъ Аврамовичъ,25 мая 1845,-
Волковъ Иванъ Амосовичъ,7 мая 1892,70
Волковъ Симеонъ Васильевичъ,18 января 1864,-
Волковъ Степанъ Григорьевичъ,29 іюля 1873,-
Володимеровъ Степанъ Ивановичъ,3 января 1847,80
Вонсяцкая Надежда Павловна,28 августа 1906,-
Воробьева Анна Ивановна,8 іюня 1853,-
Воробьевъ Иванъ Ивановичъ,8 февраля 1838,-
Воробьевъ Павелъ Ивановичъ,9 января 1877,-
Воронова Наталья Никитична,18 мая 1853,-
